DATE,tavg,tmin,tmax,prcp,wdir,wspd,wpgt,pres
04-09-23,7.6,2.5,12.9,,6,6.3,16.7,1027
04-10-23,9.5,2.9,15.7,,131,11.5,33.3,1023.2
04-11-23,9.2,6,10.6,,231,17.2,48.2,1010.8
04-12-23,8.4,2,14.5,,170,15.4,44.5,1006.6
04-13-23,9.6,6.8,12.9,,200,11,31.5,1004.3
04-14-23,7.7,6.1,9,,15,11.2,27.8,1008.7
04-15-23,9.6,8.2,11.1,,46,13.8,31.5,1008.1
04-16-23,9.3,8.2,10.6,,15,13.1,29.6,1018
04-17-23,7.9,5.9,9.2,,25,14.9,29.6,1024.9
04-18-23,8.8,5.6,12.3,,39,16.2,37,1027.8
04-19-23,7,4.4,9.8,,20,19.5,48.2,1024.8
04-20-23,9.1,4.6,14.1,,81,14.1,35.2,1020.7
04-21-23,13.9,7.6,20,,89,16.7,38.9,1018.6
04-22-23,15.1,7.6,22.2,,129,14.5,33.3,1012.8
04-23-23,13.8,11.3,16.8,,201,11,25.9,1007.4
04-24-23,12.7,9.4,16.1,,213,15.7,48.2,1003.5
04-25-23,8.5,5.9,9.8,,271,18,44.5,1008.7
04-26-23,6.4,3.6,9.1,,281,17.5,42.6,1015.7
04-27-23,6.5,2.4,10.3,,280,11.3,31.5,1020.3
04-28-23,9.1,2.5,14.8,,129,12.3,33.3,1016.2
04-29-23,11.5,9.3,13.9,,309,11.3,37,1013.2
04-30-23,8.9,4.2,13.7,,330,10.6,27.8,1022.7
05-01-23,10.9,3,18.1,,136,11,31.5,1017.7
05-02-23,10.1,7.5,12.3,,296,14.2,37,1019.4
05-03-23,8.9,4.1,13.4,,315,8.6,22.2,1027.9
05-04-23,11.3,3.3,17.2,,90,9,27.8,1024.5
05-05-23,13.6,8.1,18.4,,89,19.4,48.2,1019.9
05-06-23,10.3,9.1,13.3,,76,15.5,42.6,1018.3
05-07-23,11.2,6.9,15.6,,96,16.7,38.9,1023.4
05-08-23,11.7,5.1,17.8,,116,19.3,44.5,1026.5
05-09-23,13.1,6.3,19.2,,128,21.3,50,1020.3
05-10-23,15.5,8.9,21.7,,143,17.8,44.5,1012
05-11-23,16.9,12,22,,125,14.9,40.8,1015
05-12-23,17.2,11.3,22.4,,89,17.4,44.5,1018.9
05-13-23,16.4,10.4,22,,97,16.1,42.6,1021.3
05-14-23,15.7,9.3,21.3,,95,12.7,38.9,1018.1
05-15-23,15.1,9.9,19.8,,344,9.3,29.6,1009.7
05-16-23,12.5,9.4,15.6,,294,17.1,38.9,1013.8
05-17-23,10.4,6.2,14.2,,309,15.9,38.9,1021.9
05-18-23,10.8,5.2,15,,21,9.4,25.9,1027.7
05-19-23,13.3,7.5,17.7,,75,14.3,35.2,1026.7
05-20-23,15.5,10.8,20.4,,80,16.7,37,1024.3
05-21-23,19.7,13.1,25.8,,95,16.8,40.8,1018.9
05-22-23,20.9,15,26.3,,99,16,37,1016.1
05-23-23,16.3,12.4,19.8,,330,14.5,44.5,1012.9
05-24-23,11.6,8.1,14.9,,293,12.4,38.9,1020.3
05-25-23,13.8,8,18.5,,300,11.4,27.8,1024.4
05-26-23,13.5,8.3,18.1,,331,12.9,35.2,1026.7
05-27-23,14.5,7.1,20.6,,32,7.6,22.2,1027
05-28-23,16.8,8,23.6,,90,8.3,24.1,1021
05-29-23,16.1,10.6,20.4,,3,11.6,29.6,1021.4
05-30-23,15.9,8.6,21.6,,4,10,27.8,1024
05-31-23,17.5,9.5,24.3,,346,9.4,25.9,1024
06-01-23,16.2,11.3,21.2,,303,14.8,37,1017.7
06-02-23,14.5,9.6,18.8,,8,13.7,38.9,1019.5
06-03-23,13.8,7.1,19.6,,79,12,29.6,1023.6
06-04-23,16.4,7.8,23.3,,70,7.9,22.2,1022
06-05-23,18.8,10.1,25.7,,81,10.8,29.6,1021.1
06-06-23,19.4,13.6,24.5,,74,9.4,25.9,1019.1
06-07-23,21.5,15.6,27,,37,10.6,27.8,1018.4
06-08-23,22.2,15.6,28.4,,47,10.8,29.6,1016.6
06-09-23,22.2,16.1,27.4,,38,13.4,37,1015.8
06-10-23,22.3,16,27.9,,62,15,37,1017.2
06-11-23,21.1,13.9,26.7,,84,13.6,33.3,1020
06-12-23,21,14.1,26.7,,96,13.4,35.2,1019.8
06-13-23,18.8,13.4,23.1,,74,14,40.8,1016.7
06-14-23,18.1,12.2,23,,57,12.7,35.2,1018.5
06-15-23,18.4,14.4,22,,4,10.1,27.8,1017.8
06-16-23,15.8,14.2,17.5,,316,10.4,31.5,1015.4
06-17-23,16.6,12.8,20.1,,315,8.8,27.8,1013.9
06-18-23,19.2,12.5,25.4,,293,7.3,22.2,1014.3
06-19-23,21.6,14.3,28.4,,135,10.6,25.9,1013
06-20-23,21.8,16.8,26.4,,130,7.7,20.4,1013.3
06-21-23,23.6,19,28,,267,11,33.3,1014.6
06-22-23,22.9,16.9,27.9,,79,11.3,38.9,1018
06-23-23,19,16.9,21,,40,15.4,38.9,1015
06-24-23,18.9,14,24.3,,304,12.1,29.6,1022.9
06-25-23,21.1,15.6,26.3,,263,6.7,20.4,1019.6
06-26-23,22.2,16.8,29.1,,204,12.1,37,1013.8
06-27-23,16.7,13.9,19,,286,17.4,42.6,1015.6
06-28-23,16.9,12.5,21.4,,295,16.3,38.9,1015.7
06-29-23,19.2,12,24.9,,249,8.1,22.2,1015
06-30-23,19,16.6,20.6,,295,9.3,27.8,1010.7
07-01-23,18.5,14.4,22.6,,223,12,38.9,1006.3
07-02-23,18.5,15.9,21.3,,262,19.3,55.5,1005.6
07-03-23,17.3,12.3,20.9,,243,16,46.3,1009.2
07-04-23,17.7,13.6,21.7,,242,15.4,46.3,1011.5
07-05-23,18.1,12.8,22.9,,190,15.5,46.3,1010.8
07-06-23,17.8,12.2,22.9,,255,10.9,29.6,1017
07-07-23,20.1,11.4,27.6,,149,6.9,22.2,1021.6
07-08-23,23.1,13.8,31,,78,9.6,27.8,1020.6
07-09-23,24.7,16.2,32.3,,86,9.8,25.9,1020.5
07-10-23,23.2,19,27.4,,267,12.5,40.8,1017.7
07-11-23,22.7,15.1,29.6,,188,9.5,29.6,1016.2
07-12-23,23.1,19.7,26.8,,246,16.7,46.3,1008.8
07-13-23,19.9,15.5,24.3,,286,12.7,38.9,1014.4
07-14-23,19.8,13.6,25.7,,224,9.4,24.1,1016.8
07-15-23,24.8,16.2,32.7,,160,13.1,33.3,1009.9
07-16-23,23.1,19.2,26.5,,260,13.6,38.9,1012.4
